id,region_id,soato_id,name_uz,name_oz,name_ru
139,11,1726266,Yunusobod tumani,Юнусобод тумани,Юнусабадский район
140,11,1726269,Mirzo Ulug'bek tumani,Мирзо Улуғбек тумани,Мирзо-Улугбекский район
141,11,1726273,Mirobod tumani,Миробод тумани,Мирабадский район
142,11,1726277,Shayxontohur tumani,Шайхонтоҳур тумани,Шайхантахурский район
143,11,1726280,Olmazor tumani,Олмазор тумани,Алмазарский район
144,11,1726283,Sirg'ali tumani,Сирғали тумани,Сергелийский район
145,11,1726287,Yakkasaroy tumani,Яккасарой тумани,Яккасарайский район
146,11,1726290,Yashnobod tumani,Яшнобод тумани,Яшнабадский район
147,11,1726294,Chilonzor tumani,Чилонзор тумани,Чиланзарский район
148,12,1727206,Oqqo'rg'on tumani,Оққўрғон тумани,Аккурганский район
149,12,1727212,Ohangaron tumani,Оҳангарон тумани,Ахангаранский район
150,12,1727220,Bekobod tumani,Бекобод тумани,Бекабадский район
151,12,1727224,Bo'stonliq tumani,Бўстонлиқ тумани,Бостанлыкский район
152,12,1727228,Bo'ka tumani,Бўка тумани,Букинский район
154,12,1727237,Zangiota tumani,Зангиота тумани,Зангиатинский район
155,12,1727239,Yuqorichirchiq tumani,Юқоричирчиқ тумани,Юкоричирчикский район
156,12,1727248,Qibray tumani,Қибрай тумани,Кибрайский район
157,12,1727249,Parkent tumani,Паркент тумани,Паркентский район
158,12,1727250,Piskent tumani,Пискент тумани,Пскентский район
159,12,1727253,O'rtachirchiq tumani,Ўртачирчиқ тумани,Уртачирчикский район
160,12,1727256,Chinoz tumani,Чиноз тумани,Чиназский район
161,12,1727259,Yangiyo'l tumani,Янгийўл тумани,Янгиюльский район
162,12,1727265,Toshkent tumani,Тошкент тумани,Ташкентский район
163,12,1727401,Nurafshon,Нурафшон,Нурафшон
164,12,1727404,Olmaliq,Олмалиқ,Алмалык
165,12,1727407,Angren,Ангрен,Ангрен
166,12,1727413,Bekobod,Бекобод,Бекабад
167,12,1727415,Ohangaron,Оҳангарон,Ахангаран
168,12,1727419,Chirchiq,Чирчиқ,Чиpчик
169,12,1727424,Yangiyo'l,Янгийўл,Янгиюль
170,13,1730203,Oltiariq tumani,Олтиариқ тумани,Алтыарыкский район
171,13,1730206,Qo'shtepa tumani,Қўштепа тумани,Куштепинский район
172,13,1730209,Bog'dod tumani,Боғдод тумани,Багдадский район
173,13,1730212,Buvayda tumani,Бувайда тумани,Бувайдинский район
174,13,1730215,Beshariq tumani,Бешариқ тумани,Бешарыкский район
175,13,1730218,Quva tumani,Қува тумани,Кувинский район
176,13,1730221,Uchko'prik tumani,Учкўприк тумани,Учкуприкский район
177,13,1730224,Rishton tumani,Риштон тумани,Риштанский район
178,13,1730226,So'x tumani,Сўх тумани,Сохский район
179,13,1730227,Toshloq tumani,Тошлоқ тумани,Ташлакский район
180,13,1730230,O'zbekiston tumani,Ўзбекистон тумани,Узбекистанский район
181,13,1730233,Farg'ona tumani,Фарғона тумани,Ферганский район
